index,cycle,phase_index,step_id,operator_name,identity_split,access_recursion,contradiction_lock,temporal_feedback,false_signal,utterance_instability,silence_gain
0,0,0,initial,initial,0.12,0.08,0.05,0.1,0.06,0.04,0.05
1,1,1,PX-001,amplify identity fracture,0.19735199999999997,0.07988,0.05,0.1,0.06,0.04,0.05
2,1,2,PX-002,fracture to access recursion,0.19735199999999997,0.0907056128,0.05,0.10244905154560001,0.06,0.04,0.05
3,1,3,PX-003,negation to lock formation,0.19967656109359735,0.0907056128,0.057922304512000006,0.10244905154560001,0.06,0.04,0.05
4,1,4,PX-004,lagged temporal recursion,0.19967656109359735,0.0907056128,0.057922304512000006,0.10771912779703975,0.0640502392051687,0.04,0.05
5,1,5,PX-005,false signal injection,0.19967656109359735,0.0907056128,0.057922304512000006,0.10771912779703975,0.06695410454659827,0.04,0.05
6,1,6,PX-006,signal to unstable utterance,0.19967656109359735,0.0907056128,0.057922304512000006,0.10771912779703975,0.06695410454659827,0.04314134863410188,0.05
7,1,7,PX-007,silence feedback reset,0.19952944622754754,0.09029691655412371,0.057922304512000006,0.10771912779703975,0.0660155506550876,0.04314134863410188,0.050063819188766116
8,2,1,PX-001,amplify identity fracture,0.27007882106638753,0.09016129829901365,0.057922304512000006,0.10771912779703975,0.0660155506550876,0.04314134863410188,0.050063819188766116
9,2,2,PX-002,fracture to access recursion,0.27007882106638753,0.10629611533724842,0.057922304512000006,0.11056450751218695,0.0660155506550876,0.04314134863410188,0.050063819188766116
10,2,3,PX-003,negation to lock formation,0.2725849049771352,0.10629611533724842,0.06866724745290895,0.11056450751218695,0.0660155506550876,0.04314134863410188,0.050063819188766116
11,2,4,PX-004,lagged temporal recursion,0.2725849049771352,0.10629611533724842,0.06866724745290895,0.12257682125275397,0.07059494445109572,0.04314134863410188,0.050063819188766116
12,2,5,PX-005,false signal injection,0.2725849049771352,0.10629611533724842,0.06866724745290895,0.12257682125275397,0.07428930730971528,0.04314134863410188,0.050063819188766116
13,2,6,PX-006,signal to unstable utterance,0.2725849049771352,0.10629611533724842,0.06866724745290895,0.12257682125275397,0.07428930730971528,0.04710851865871131,0.050063819188766116
14,2,7,PX-007,silence feedback reset,0.2717285117967841,0.10580819027233598,0.06866724745290895,0.12257682125275397,0.07322839969607084,0.04710851865871131,0.0510027068528114
15,3,1,PX-001,amplify identity fracture,0.3360632084101014,0.1056462951490034,0.06866724745290895,0.12257682125275397,0.07322839969607084,0.04710851865871131,0.0510027068528114
16,3,2,PX-002,fracture to access recursion,0.3360632084101014,0.12612318213184828,0.06866724745290895,0.1258967233541493,0.07322839969607084,0.04710851865871131,0.0510027068528114
17,3,3,PX-003,negation to lock formation,0.33878016289239476,0.12612318213184828,0.08184376936808069,0.1258967233541493,0.07322839969607084,0.04710851865871131,0.0510027068528114
