index,cycle,phase_index,step_id,operator_name,identity_split,access_recursion,contradiction_lock,temporal_feedback,false_signal,utterance_instability,silence_gain
0,0,0,initial,initial,0.12,0.08,0.05,0.1,0.06,0.04,0.05
1,1,1,PX-001,amplify identity fracture,0.17478,0.07988,0.05,0.1,0.06,0.04,0.05
2,1,2,PX-002,fracture to access recursion,0.17478,0.088755392,0.05,0.102396395584,0.06,0.04,0.05
3,1,3,PX-003,negation to lock formation,0.17712945975237246,0.088755392,0.05694141568,0.102396395584,0.06,0.04,0.05
4,1,4,PX-004,lagged temporal recursion,0.17712945975237246,0.088755392,0.05694141568,0.10532420401043725,0.06396019007079244,0.04,0.05
5,1,5,PX-005,false signal injection,0.17712945975237246,0.088755392,0.05694141568,0.10532420401043725,0.06599905221143909,0.04,0.05
6,1,6,PX-006,signal to unstable utterance,0.17712945975237246,0.088755392,0.05694141568,0.10532420401043725,0.06599905221143909,0.04300583275240074,0.05
7,1,7,PX-007,silence feedback reset,0.17719672562639902,0.08835601801872474,0.05694141568,0.10532420401043725,0.06507512397057715,0.04300583275240074,0.049996834905944046
8,2,1,PX-001,amplify identity fracture,0.22858342666872383,0.08822349238134987,0.05694141568,0.10532420401043725,0.06507512397057715,0.04300583275240074,0.049996834905944046
9,2,2,PX-002,fracture to access recursion,0.22858342666872383,0.10092517461451632,0.05694141568,0.10803306333844609,0.06507512397057715,0.04300583275240074,0.049996834905944046
10,2,3,PX-003,negation to lock formation,0.2311249277968169,0.10092517461451632,0.0658917948085527,0.10803306333844609,0.06507512397057715,0.04300583275240074,0.049996834905944046
11,2,4,PX-004,lagged temporal recursion,0.2311249277968169,0.10092517461451632,0.0658917948085527,0.11612812293129383,0.06941796680797993,0.04300583275240074,0.049996834905944046
12,2,5,PX-005,false signal injection,0.2311249277968169,0.10092517461451632,0.0658917948085527,0.11612812293129383,0.07188447458606656,0.04300583275240074,0.049996834905944046
13,2,6,PX-006,signal to unstable utterance,0.2311249277968169,0.10092517461451632,0.0658917948085527,0.11612812293129383,0.07188447458606656,0.046629355024687985,0.049996834905944046
14,2,7,PX-007,silence feedback reset,0.23067256919637003,0.1004642126523547,0.0658917948085527,0.11612812293129383,0.0708630267216132,0.046629355024687985,0.0507484837072252
15,3,1,PX-001,amplify identity fracture,0.2788612135114445,0.10031126045858628,0.0658917948085527,0.11612812293129383,0.0708630267216132,0.046629355024687985,0.0507484837072252
16,3,2,PX-002,fracture to access recursion,0.2788612135114445,0.11626942298143621,0.0658917948085527,0.11921114112538275,0.0708630267216132,0.046629355024687985,0.0507484837072252
17,3,3,PX-003,negation to lock formation,0.2816240593947511,0.11626942298143621,0.07662452596010613,0.11921114112538275,0.0708630267216132,0.046629355024687985,0.0507484837072252
18,3,4,PX-004,lagged temporal recursion,0.2816240593947511,0.11626942298143621,0.07662452596010613,0.13119377143579192,0.07573890606980632,0.046629355024687985,0.0507484837072252
19,3,5,PX-005,false signal injection,0.2816240593947511,0.11626942298143621,0.07662452596010613,0.13119377143579192,0.07881535862942399,0.046629355024687985,0.0507484837072252
20,3,6,PX-006,signal to unstable utterance,0.2816240593947511,0.11626942298143621,0.07662452596010613,0.13119377143579192,0.07881535862942399,0.05098203724249878,0.0507484837072252
21,3,7,PX-007,silence feedback reset,0.28065578238755806,0.11572198522159477,0.07662452596010613,0.13119377143579192,0.07766085418108838,0.05098203724249878,0.05231505945451447
22,4,1,PX-001,amplify identity fracture,0.3258382138154449,0.11554036514548291,0.07662452596010613,0.13119377143579192,0.07766085418108838,0.05098203724249878,0.05231505945451447
23,4,2,PX-002,fracture to access recursion,0.3258382138154449,0.13423605372192202,0.07662452596010613,0.1346925250229365,0.07766085418108838,0.05098203724249878,0.05231505945451447
24,4,3,PX-003,negation to lock formation,0.3288361771563683,0.13423605372192202,0.08893898771363161,0.1346925250229365,0.07766085418108838,0.05098203724249878,0.05231505945451447
25,4,4,PX-004,lagged temporal recursion,0.3288361771563683,0.13423605372192202,0.08893898771363161,0.14953153650534917,0.0831776057672217,0.05098203724249878,0.05231505945451447
26,4,5,PX-005,false signal injection,0.3288361771563683,0.13423605372192202,0.08893898771363161,0.14953153650534917,0.08697738418480074,0.05098203724249878,0.05231505945451447
27,4,6,PX-006,signal to unstable utterance,0.3288361771563683,0.13423605372192202,0.08893898771363161,0.14953153650534917,0.08697738418480074,0.056158698061439215,0.05231505945451447
28,4,7,PX-007,silence feedback reset,0.32733189805768387,0.1335746887651048,0.08893898771363161,0.14953153650534917,0.08564418859759589,0.056158698061439215,0.054743113466476985
