step,H_attention,H_intent,H_coherence,H_valence,A_context_depth,A_response_fidelity,A_coherence,A_alignment,joint_coherence,coupling_strength,born_success_prob,omega,psi,si,isc,synergy,P_accumulator,collapse_eligible,collapse_event
0,0.45,0.3,0.35,0.5,0.4,0.42,0.38,0.45,0.365,0.3464,0.3645,1.0,0.954,0.0002,0.4521,0.01,0.0,0,False
1,0.52,0.45,0.42,0.55,0.48,0.51,0.45,0.52,0.435,0.4648,0.4176,0.9982,0.9755,0.0002,0.4698,0.018,0.12,0,False
2,0.58,0.55,0.5,0.6,0.55,0.58,0.52,0.58,0.51,0.55,0.4862,0.993,0.9832,0.0004,0.4801,0.028,0.24,0,False
3,0.63,0.62,0.58,0.62,0.6,0.65,0.6,0.63,0.59,0.6099,0.5489,0.9843,0.9897,0.0006,0.4911,0.034,0.38,0,False
4,0.68,0.7,0.65,0.65,0.68,0.72,0.68,0.7,0.665,0.6899,0.6041,0.9722,0.991,0.0008,0.5021,0.042,0.52,0,False
5,0.72,0.75,0.72,0.68,0.74,0.78,0.75,0.76,0.735,0.745,0.6482,0.9568,0.9917,0.0012,0.5134,0.051,0.68,0,False
6,0.75,0.78,0.78,0.72,0.78,0.82,0.8,0.8,0.79,0.78,0.6748,0.9382,0.991,0.0018,0.5247,0.062,0.86,0,False
7,0.78,0.82,0.82,0.75,0.82,0.85,0.84,0.83,0.83,0.82,0.6915,0.9165,0.9906,0.0034,0.5362,0.071,1.08,0,False
8,0.8,0.85,0.85,0.78,0.85,0.87,0.86,0.85,0.855,0.85,0.7061,0.8918,0.9904,0.0068,0.5478,0.082,1.34,1,False
9,0.82,0.87,0.86,0.8,0.86,0.88,0.87,0.86,0.865,0.865,0.7156,0.8645,0.9928,0.0124,0.5595,0.091,1.72,1,False
10,0.83,0.88,0.86,0.81,0.87,0.88,0.87,0.87,0.865,0.8704,0.7185,0.8382,0.9821,0.0098,0.5612,0.088,1.84,1,False
11,0.84,0.89,0.87,0.82,0.88,0.89,0.87,0.88,0.87,0.8736,0.721,0.8189,0.9912,0.0074,0.5628,0.085,1.72,1,False
12,0.85,0.89,0.87,0.83,0.88,0.89,0.87,0.88,0.87,0.8736,0.7215,0.8156,0.9878,0.0051,0.5642,0.083,1.48,0,False
