seed_a,seed_b,gain_fraction,max_gain_dC,max_phi_in_gain_deg,theta_star_at_phi0_deg,n_gain_cells
20260504,20260505,0.125000,0.023245,176.363636,0.000000,250
20260505,20260506,0.088000,0.028434,120.000000,0.000000,176
20260506,20260507,0.051500,0.030561,116.363636,0.000000,103
20260507,20260508,0.044000,0.011837,140.000000,4.736842,88
20260508,20260509,0.069500,0.022255,180.000000,0.000000,139
20260509,20260510,0.147500,0.040496,163.636364,4.736842,295
20260510,20260511,0.087500,0.020960,180.000000,0.000000,175
20260511,20260512,0.163000,0.042378,103.636364,4.736842,326
20260512,20260513,0.247500,0.076357,180.000000,0.000000,495
20260513,20260514,0.002000,0.001009,90.909091,0.000000,4
20260514,20260515,0.114000,0.034016,92.727273,4.736842,228
20260515,20260516,0.019000,0.010445,180.000000,0.000000,38
20260516,20260517,0.009500,0.005156,60.000000,0.000000,19
20260517,20260518,0.060500,0.017255,180.000000,0.000000,121
20260518,20260519,0.065000,0.027670,85.454545,0.000000,130
20260519,20260520,0.079000,0.021255,109.090909,4.736842,158
20260520,20260521,0.127500,0.035491,130.909091,0.000000,255
20260521,20260522,0.024500,0.016387,180.000000,0.000000,49
20260522,20260523,0.079000,0.035085,100.000000,9.473684,158
20260523,20260524,0.123500,0.030420,180.000000,0.000000,247
20260524,20260525,0.050500,0.020769,103.636364,0.000000,101
20260525,20260526,0.019000,0.009415,105.454545,4.736842,38
20260526,20260527,0.016000,0.008920,100.000000,0.000000,32
20260527,20260528,0.000500,0.000601,89.090909,0.000000,1
20260528,20260529,0.055500,0.009736,120.000000,0.000000,111
20260529,20260530,0.203000,0.053661,180.000000,0.000000,406
20260530,20260531,0.099000,0.051206,130.909091,9.473684,198
20260531,20260532,0.121000,0.033204,180.000000,0.000000,242
20260532,20260533,0.091000,0.033237,180.000000,75.789474,182
20260533,20260534,0.068500,0.018540,100.000000,4.736842,137
20260534,20260535,0.130000,0.046590,180.000000,0.000000,260
20260535,20260536,0.042000,0.042093,169.090909,0.000000,84
20260536,20260537,0.041000,0.020171,50.909091,4.736842,82
20260537,20260538,0.071000,0.029876,180.000000,0.000000,142
20260538,20260539,0.000500,0.000048,50.909091,0.000000,1
20260539,20260540,0.125500,0.042929,109.090909,14.210526,251
20260540,20260541,0.168500,0.061471,180.000000,0.000000,337
20260541,20260542,0.227500,0.069969,132.727273,0.000000,455
20260542,20260543,0.039500,0.020449,105.454545,0.000000,79
20260543,20260544,0.076500,0.033407,180.000000,0.000000,153
20260544,20260545,0.203000,0.056119,180.000000,4.736842,406
20260545,20260546,0.034000,0.013977,180.000000,0.000000,68
20260546,20260547,0.020000,0.007027,96.363636,0.000000,40
20260547,20260548,0.112000,0.031175,112.727273,0.000000,224
20260548,20260549,0.075000,0.018895,170.909091,0.000000,150
20260549,20260550,0.080500,0.027811,87.272727,4.736842,161
20260550,20260551,0.004000,0.009910,180.000000,0.000000,8
20260551,20260552,0.020500,0.009622,101.818182,0.000000,41
20260552,20260553,0.127500,0.038584,145.454545,4.736842,255
20260553,20260554,0.167500,0.042978,180.000000,0.000000,335
