config,theta_label,theta_rad,C1,C2,C3,C4
A (identical),0,0,0.765493,0.830874,0.765493,0.574546
A (identical),π/12,0.261799,0.806241,0.655978,0.806241,0.549818
A (identical),π/6,0.523599,0.868574,0.577058,0.868574,0.480573
A (identical),π/4,0.785398,0.933350,0.615877,0.933350,0.396710
A (identical),π/3,1.047198,0.924165,0.687491,0.924165,0.361657
A (identical),5π/12,1.308997,0.826240,0.729440,0.826240,0.373202
A (identical),π/2,1.570796,0.757393,0.750651,0.757393,0.369150
B (orthogonal),0,0,0.765493,0.723610,-0.063698,0.727729
B (orthogonal),π/12,0.261799,0.765792,0.696410,-0.006344,0.716478
B (orthogonal),π/6,0.523599,0.756815,0.689405,0.072309,0.706761
B (orthogonal),π/4,0.785398,0.729862,0.704293,0.150486,0.713177
B (orthogonal),π/3,1.047198,0.697875,0.731055,0.205591,0.743450
B (orthogonal),5π/12,1.308997,0.682323,0.749625,0.236149,0.781265
B (orthogonal),π/2,1.570796,0.688047,0.750731,0.275675,0.790477
C (parallel 2x),0,0,0.765493,0.830874,0.765493,0.427885
C (parallel 2x),π/12,0.261799,0.847905,0.772351,0.847905,0.381364
C (parallel 2x),π/6,0.523599,0.946960,0.774156,0.946960,0.387618
C (parallel 2x),π/4,0.785398,0.792886,0.809013,0.792886,0.489263
C (parallel 2x),π/3,1.047198,0.503893,0.833549,0.503893,0.552378
C (parallel 2x),5π/12,1.308997,0.428289,0.841886,0.428289,0.552033
C (parallel 2x),π/2,1.570796,0.460586,0.846642,0.460586,0.520796
D (opposed),0,0,0.765493,0.830874,-0.765493,0.928630
D (opposed),π/12,0.261799,0.742024,0.866407,-0.742024,0.918136
D (opposed),π/6,0.523599,0.724455,0.815188,-0.724455,0.886517
D (opposed),π/4,0.785398,0.700433,0.794813,-0.700433,0.863955
D (opposed),π/3,1.047198,0.663537,0.805012,-0.663537,0.859273
D (opposed),5π/12,1.308997,0.620009,0.821111,-0.620009,0.869372
D (opposed),π/2,1.570796,0.595469,0.820772,-0.595469,0.884742
