phi_deg,theta_deg,C_joint,C_decoupled,delta_C
0.000000,0.000000,0.749347,0.749347,0.000000
0.000000,4.736842,0.748931,0.749347,-0.000417
0.000000,9.473684,0.748378,0.749347,-0.000970
0.000000,14.210526,0.747374,0.749347,-0.001973
0.000000,18.947368,0.745871,0.749347,-0.003476
0.000000,23.684211,0.744012,0.749347,-0.005336
0.000000,28.421053,0.741992,0.749347,-0.007355
0.000000,33.157895,0.739961,0.749347,-0.009387
0.000000,37.894737,0.737977,0.749347,-0.011371
0.000000,42.631579,0.736014,0.749347,-0.013333
0.000000,47.368421,0.733965,0.749347,-0.015382
0.000000,52.105263,0.731667,0.749347,-0.017680
0.000000,56.842105,0.728965,0.749347,-0.020382
0.000000,61.578947,0.725814,0.749347,-0.023534
0.000000,66.315789,0.722353,0.749347,-0.026995
0.000000,71.052632,0.718902,0.749347,-0.030446
0.000000,75.789474,0.715864,0.749347,-0.033484
0.000000,80.526316,0.713620,0.749347,-0.035727
0.000000,85.263158,0.712451,0.749347,-0.036896
0.000000,90.000000,0.712467,0.749347,-0.036880
1.818182,0.000000,0.751506,0.751506,0.000000
1.818182,4.736842,0.750778,0.751506,-0.000727
1.818182,9.473684,0.749981,0.751506,-0.001525
1.818182,14.210526,0.748813,0.751506,-0.002693
1.818182,18.947368,0.747198,0.751506,-0.004308
1.818182,23.684211,0.745236,0.751506,-0.006270
1.818182,28.421053,0.743094,0.751506,-0.008412
1.818182,33.157895,0.740906,0.751506,-0.010600
1.818182,37.894737,0.738733,0.751506,-0.012773
1.818182,42.631579,0.736561,0.751506,-0.014945
1.818182,47.368421,0.734295,0.751506,-0.017211
1.818182,52.105263,0.731789,0.751506,-0.019717
1.818182,56.842105,0.728903,0.751506,-0.022602
1.818182,61.578947,0.725611,0.751506,-0.025895
1.818182,66.315789,0.722067,0.751506,-0.029439
1.818182,71.052632,0.718598,0.751506,-0.032908
1.818182,75.789474,0.715602,0.751506,-0.035904
1.818182,80.526316,0.713445,0.751506,-0.038061
1.818182,85.263158,0.712389,0.751506,-0.039117
1.818182,90.000000,0.712526,0.751506,-0.038980
3.636364,0.000000,0.753833,0.753833,0.000000
3.636364,4.736842,0.752797,0.753833,-0.001036
3.636364,9.473684,0.751739,0.753833,-0.002093
3.636364,14.210526,0.750379,0.753833,-0.003454
3.636364,18.947368,0.748618,0.753833,-0.005214
3.636364,23.684211,0.746524,0.753833,-0.007308
3.636364,28.421053,0.744232,0.753833,-0.009600
3.636364,33.157895,0.741864,0.753833,-0.011968
3.636364,37.894737,0.739486,0.753833,-0.014347
3.636364,42.631579,0.737092,0.753833,-0.016741
3.636364,47.368421,0.734603,0.753833,-0.019229
3.636364,52.105263,0.731887,0.753833,-0.021945
3.636364,56.842105,0.728822,0.753833,-0.025010
3.636364,61.578947,0.725397,0.753833,-0.028435
3.636364,66.315789,0.721781,0.753833,-0.032052
3.636364,71.052632,0.718303,0.753833,-0.035529
3.636364,75.789474,0.715357,0.753833,-0.038476
3.636364,80.526316,0.713292,0.753833,-0.040541
3.636364,85.263158,0.712351,0.753833,-0.041482
3.636364,90.000000,0.712609,0.753833,-0.041224
5.454545,0.000000,0.756312,0.756312,0.000000
5.454545,4.736842,0.754977,0.756312,-0.001335
5.454545,9.473684,0.753647,0.756312,-0.002665
5.454545,14.210526,0.752068,0.756312,-0.004244
5.454545,18.947368,0.750131,0.756312,-0.006181
5.454545,23.684211,0.747873,0.756312,-0.008439
5.454545,28.421053,0.745403,0.756312,-0.010909
5.454545,33.157895,0.742833,0.756312,-0.013479
5.454545,37.894737,0.740232,0.756312,-0.016080
5.454545,42.631579,0.737605,0.756312,-0.018707
5.454545,47.368421,0.734889,0.756312,-0.021423
5.454545,52.105263,0.731963,0.756312,-0.024349
5.454545,56.842105,0.728724,0.756312,-0.027588
5.454545,61.578947,0.725174,0.756312,-0.031138
5.454545,66.315789,0.721495,0.756312,-0.034817
5.454545,71.052632,0.718019,0.756312,-0.038293
