phi_deg,theta_deg,delta_C_avg,delta_C_min
0.000000,0.000000,0.00000000,0.00000000
1.818182,0.000000,0.00000000,0.00000000
3.636364,0.000000,0.00000000,0.00000000
5.454545,0.000000,0.00000000,0.00000000
7.272727,0.000000,0.00000000,0.00000000
9.090909,0.000000,0.00000000,0.00000000
10.909091,0.000000,0.00000000,0.00000000
12.727273,0.000000,0.00000000,0.00000000
14.545455,0.000000,0.00000000,0.00000000
16.363636,0.000000,0.00000000,0.00000000
18.181818,0.000000,0.00000000,0.00000000
20.000000,0.000000,0.00000000,0.00000000
21.818182,0.000000,0.00000000,0.00000000
23.636364,0.000000,0.00000000,0.00000000
25.454545,0.000000,0.00000000,0.00000000
27.272727,0.000000,0.00000000,0.00000000
29.090909,0.000000,0.00000000,0.00000000
30.909091,0.000000,0.00000000,0.00000000
32.727273,0.000000,0.00000000,0.00000000
34.545455,0.000000,0.00000000,0.00000000
36.363636,0.000000,0.00000000,0.00000000
38.181818,0.000000,0.00000000,0.00000000
40.000000,0.000000,0.00000000,0.00000000
41.818182,0.000000,0.00000000,0.00000000
43.636364,0.000000,0.00000000,0.00000000
45.454545,0.000000,0.00000000,0.00000000
47.272727,0.000000,0.00000000,0.00000000
49.090909,0.000000,0.00000000,0.00000000
50.909091,0.000000,0.00000000,0.00000000
52.727273,0.000000,0.00000000,0.00000000
54.545455,0.000000,0.00000000,0.00000000
56.363636,0.000000,0.00000000,0.00000000
58.181818,0.000000,0.00000000,0.00000000
60.000000,0.000000,0.00000000,0.00000000
61.818182,0.000000,0.00000000,0.00000000
63.636364,0.000000,0.00000000,0.00000000
65.454545,0.000000,0.00000000,0.00000000
67.272727,0.000000,0.00000000,0.00000000
69.090909,0.000000,0.00000000,0.00000000
70.909091,0.000000,0.00000000,0.00000000
72.727273,0.000000,0.00000000,0.00000000
74.545455,0.000000,0.00000000,0.00000000
76.363636,0.000000,0.00000000,0.00000000
78.181818,0.000000,0.00000000,0.00000000
80.000000,0.000000,0.00000000,0.00000000
81.818182,0.000000,0.00000000,0.00000000
83.636364,0.000000,0.00000000,0.00000000
85.454545,0.000000,0.00000000,0.00000000
87.272727,0.000000,0.00000000,0.00000000
89.090909,0.000000,0.00000000,0.00000000
90.909091,0.000000,0.00000000,0.00000000
92.727273,0.000000,0.00000000,0.00000000
94.545455,0.000000,0.00000000,0.00000000
96.363636,0.000000,0.00000000,0.00000000
98.181818,0.000000,0.00000000,0.00000000
100.000000,0.000000,0.00000000,0.00000000
101.818182,0.000000,0.00000000,0.00000000
103.636364,0.000000,0.00000000,0.00000000
105.454545,0.000000,0.00000000,0.00000000
107.272727,0.000000,0.00000000,0.00000000
109.090909,0.000000,0.00000000,0.00000000
110.909091,0.000000,0.00000000,0.00000000
112.727273,0.000000,0.00000000,0.00000000
114.545455,0.000000,0.00000000,0.00000000
116.363636,0.000000,0.00000000,0.00000000
118.181818,0.000000,0.00000000,0.00000000
120.000000,0.000000,0.00000000,0.00000000
121.818182,0.000000,0.00000000,0.00000000
123.636364,0.000000,0.00000000,0.00000000
125.454545,0.000000,0.00000000,0.00000000
127.272727,0.000000,0.00000000,0.00000000
129.090909,0.000000,0.00000000,0.00000000
130.909091,0.000000,0.00000000,0.00000000
132.727273,0.000000,0.00000000,0.00000000
134.545455,0.000000,0.00000000,0.00000000
136.363636,0.000000,0.00000000,0.00000000
138.181818,0.000000,0.00000000,0.00000000
140.000000,0.000000,0.00000000,0.00000000
141.818182,0.000000,0.00000000,0.00000000
143.636364,0.000000,0.00000000,0.00000000
145.454545,0.000000,0.00000000,0.00000000
147.272727,0.000000,0.00000000,0.00000000
149.090909,0.000000,0.00000000,0.00000000
150.909091,0.000000,0.00000000,0.00000000
152.727273,0.000000,0.00000000,0.00000000
154.545455,0.000000,0.00000000,0.00000000
156.363636,0.000000,0.00000000,0.00000000
158.181818,0.000000,0.00000000,0.00000000
160.000000,0.000000,0.00000000,0.00000000
161.818182,0.000000,0.00000000,0.00000000
163.636364,0.000000,0.00000000,0.00000000
165.454545,0.000000,0.00000000,0.00000000
167.272727,0.000000,0.00000000,0.00000000
169.090909,0.000000,0.00000000,0.00000000
170.909091,0.000000,0.00000000,0.00000000
172.727273,0.000000,0.00000000,0.00000000
174.545455,0.000000,0.00000000,0.00000000
176.363636,0.000000,0.00000000,0.00000000
178.181818,0.000000,0.00000000,0.00000000
180.000000,0.000000,0.00000000,0.00000000
0.000000,4.736842,-0.00041652,-0.02451035
1.818182,4.736842,-0.00072745,-0.02532173
3.636364,4.736842,-0.00103583,-0.02609838
5.454545,4.736842,-0.00133539,-0.02682721
7.272727,4.736842,-0.00161892,-0.02677664
9.090909,4.736842,-0.00187841,-0.02193896
10.909091,4.736842,-0.00210519,-0.01687285
12.727273,4.736842,-0.00229021,-0.01164752
14.545455,4.736842,-0.00242441,-0.00634666
16.363636,4.736842,-0.00249928,-0.00106783
18.181818,4.736842,-0.00250742,0.00407937
20.000000,4.736842,-0.00244325,0.00897630
21.818182,4.736842,-0.00230369,0.01349956
23.636364,4.736842,-0.00208872,0.01752653
25.454545,4.736842,-0.00180176,0.02094173
27.272727,4.736842,-0.00144983,0.02324517
29.090909,4.736842,-0.00104328,0.02296012
30.909091,4.736842,-0.00059520,0.02264339
32.727273,4.736842,-0.00012062,0.02229531
34.545455,4.736842,0.00036464,0.02191628
36.363636,4.736842,0.00084497,0.02150674
38.181818,4.736842,0.00130607,0.02106720
40.000000,4.736842,0.00173567,0.01937206
41.818182,4.736842,0.00212403,0.01585120
43.636364,4.736842,0.00246418,0.01187649
45.454545,4.736842,0.00275182,0.00756733
47.272727,4.736842,0.00298506,0.00304099
49.090909,4.736842,0.00316401,-0.00159212
50.909091,4.736842,0.00329038,-0.00623188
52.727273,4.736842,0.00336699,-0.00981621
54.545455,4.736842,0.00339740,-0.00907771
56.363636,4.736842,0.00338556,-0.00840167
58.181818,4.736842,0.00333558,-0.00778094
60.000000,4.736842,0.00325151,-0.00720847
61.818182,4.736842,0.00313726,-0.00667759
63.636364,4.736842,0.00299646,-0.00618215
65.454545,4.736842,0.00283247,-0.00571661
67.272727,4.736842,0.00264834,-0.00527604
69.090909,4.736842,0.00244684,-0.00485613
70.909091,4.736842,0.00223046,-0.00445314
72.727273,4.736842,0.00200143,-0.00406383
74.545455,4.736842,0.00176177,-0.00368545
76.363636,4.736842,0.00151328,-0.00331562
78.181818,4.736842,0.00125761,-0.00295233
80.000000,4.736842,0.00099626,-0.00259386
81.818182,4.736842,0.00073060,-0.00223874
83.636364,4.736842,0.00046189,-0.00188571
85.454545,4.736842,0.00019132,-0.00153369
87.272727,4.736842,-0.00008003,-0.00118172
89.090909,4.736842,-0.00035111,-0.00082900
90.909091,4.736842,-0.00062094,-0.00047477
92.727273,4.736842,-0.00088859,-0.00011840
