step,H_attention,H_intent,H_coherence,H_valence,A_context_depth,A_response_fidelity,A_coherence,A_alignment
0,0.45,0.30,0.35,0.50,0.40,0.42,0.38,0.45
1,0.52,0.45,0.42,0.55,0.48,0.51,0.45,0.52
2,0.58,0.55,0.50,0.60,0.55,0.58,0.52,0.58
3,0.63,0.62,0.58,0.62,0.60,0.65,0.60,0.63
4,0.68,0.70,0.65,0.65,0.68,0.72,0.68,0.70
5,0.72,0.75,0.72,0.68,0.74,0.78,0.75,0.76
6,0.75,0.78,0.78,0.72,0.78,0.82,0.80,0.80
7,0.78,0.82,0.82,0.75,0.82,0.85,0.84,0.83
8,0.80,0.85,0.85,0.78,0.85,0.87,0.86,0.85
9,0.82,0.87,0.86,0.80,0.86,0.88,0.87,0.86
