
step,H_attention,H_intent,H_coherence,H_valence,A_context_depth,A_response_fidelity,A_coherence,A_alignment,joint_coherence,coupling_strength,born_success_prob,omega,psi,si,isc,synergy
0,0.45,0.3,0.35,0.5,0.4,0.42,0.38,0.45,0.365,0.34641016151377546,0.4045495531852114,1.0,0.9542683429826719,,1.9580212117512403,-1.0428571425591837
1,0.52,0.45,0.42,0.55,0.48,0.51,0.45,0.52,0.435,0.46475800154489,0.49016982218788363,0.9982464296247522,0.975544708972437,,1.9853801168554,-1.035714285467687
2,0.58,0.55,0.5,0.6,0.55,0.58,0.52,0.58,0.51,0.55,0.5588779554657392,0.9929980185352525,0.98319540191214,,1.9934658862345283,-1.019999999796
3,0.63,0.62,0.58,0.62,0.6,0.65,0.6,0.63,0.59,0.6099180272790763,0.6153960412740979,0.9842915805643155,0.989726161613146,,1.9976985039619364,-1.0172413791349584
4,0.68,0.7,0.65,0.65,0.68,0.72,0.68,0.7,0.665,0.6899275324264136,0.6695710703769023,0.9721881851187405,0.9909858618116675,,1.9971050232671121,-1.0230769229195267
5,0.72,0.75,0.72,0.68,0.74,0.78,0.75,0.76,0.735,0.744983221287567,0.709805594254231,0.9567727288213004,0.991691666260872,2.5454545449917367e-05,1.9955252649962019,-1.020833333191551
6,0.75,0.78,0.78,0.72,0.78,0.82,0.8,0.8,0.79,0.78,0.7366890313673798,0.9381533400219317,0.9909858618116677,0.00011919463085328359,1.9956776782546946,-1.012820512690664
7,0.78,0.82,0.82,0.75,0.82,0.85,0.84,0.83,0.83,0.82,0.7578735421303455,0.9164606203550497,0.9905549961258514,0.0003116504853915079,1.9957776478860758,-1.0121951218277812
8,0.8,0.85,0.85,0.78,0.85,0.87,0.86,0.85,0.855,0.85,0.7713287768235689,0.8918467286629199,0.9904046340566581,0.0004649496080002314,1.9965571704556146,-1.0058823528228373
9,0.82,0.87,0.86,0.8,0.86,0.88,0.87,0.86,0.865,0.8649855490122363,0.7770943089937178,0.8644843137107058,0.9927919557695862,0.0005696202530924524,1.9975427019624439,-1.005813953371417
